,Address,Coordinates
288,"5800  COPLEY DRIVE, SAN DIEGO","(32.8415486, -117.1716496)"
289,"9200  MIRA MESA BOULEVARD, SAN DIEGO","(32.9176125, -117.1255025)"
290,"900  MORENA BOULEVARD, SAN DIEGO","(32.7657453, -117.1985114)"
291,"1300  GOSHEN STREET, SAN DIEGO","(32.7691359, -117.187834)"
292,"700  PICCARD AVENUE, SAN DIEGO","(32.5836783, -117.0504991)"
293,"9100  LA JOLLA VILLAGE DRIVE, SAN DIEGO","(32.8750233, -117.20091940000002)"
294,"800  EMERALD STREET, SAN DIEGO","(32.798427399999994, -117.2560576)"
295,"4300  GENESEE AVENUE, SAN DIEGO","(32.8213478, -117.1830275)"
296,"12800  LUNADA PLACE, SAN DIEGO","(33.0507418, -117.0581153)"
297,"5200  COLLEGE AVENUE, SAN DIEGO","(32.7730329, -117.0695669)"
298,"5200  IMPERIAL AVENUE, SAN DIEGO","(32.7058665, -117.0827006)"
299,"10700  WESTVIEW PARKWAY, SAN DIEGO","(32.9150435, -117.1205904)"
300,"10700  WESTVIEW PARKWAY, SAN DIEGO","(32.9150435, -117.1205904)"
301,"2800  NATIONAL AVENUE, SAN DIEGO","(32.6959311, -117.13381470000002)"
302,"2400  WEST MISSION BAY DRIVE, SAN DIEGO","(32.7596683, -117.2272997)"
303,"2400  WEST MISSION BAY DRIVE, SAN DIEGO","(32.7596683, -117.2272997)"
304,"700  16TH STREET, SAN DIEGO","(32.5837886, -117.0995043)"
305,"1200  CAM DEL RIO , SAN DIEGO","(32.7669328, -117.15328)"
306,"4400  VIEWRIDGE AVENUE, SAN DIEGO","(32.8216331, -117.1247527)"
307,"8800  JUDICIAL DRIVE, SAN DIEGO","(32.8673934, -117.1988995)"
308,"4900  DUBOIS DRIVE, SAN DIEGO","(32.8344975, -117.1977638)"
309,"2600  EL CAJON BOULEVARD, SAN DIEGO","(32.7553799, -117.1363685)"
310,"4300  REDWOOD STREET, SAN DIEGO","(32.7384358, -117.100922)"
311,"5000  MONROE AVENUE, SAN DIEGO","(32.7589966, -117.0868211)"
312,"4200  PALM AVENUE, SAN DIEGO","(32.5837162, -117.0431929)"
313,"3000  MISSION BOULEVARD, SAN DIEGO","(32.76783530000001, -117.2510991)"
314,"1200  09TH AVENUE, SAN DIEGO","(32.715738, -117.1610838)"
315,"4000  PEPPER DRIVE, SAN DIEGO","(32.7314464, -117.1089213)"
316,"4100  NORMAL STREET, SAN DIEGO","(32.754244, -117.1481366)"
317,"4300  KEARNY MESA ROAD, SAN DIEGO","(32.819015, -117.14919009999998)"
318,"4000  INGRAHAM STREET, SAN DIEGO","(32.792368, -117.2386212)"
319,"3300  CHANNEL WAY, SAN DIEGO","(32.755295600000004, -117.2201397)"
320,"10700  CAM RUIZ , SAN DIEGO","(32.9126086, -117.1439595)"
321,"600  B STREET, SAN DIEGO","(32.718146999999995, -117.1585979)"
322,"600  25TH STREET, SAN DIEGO","(32.7115961, -117.14025359999998)"
323,"1300  10TH AVENUE, SAN DIEGO","(32.7188864, -117.1556631)"
324,"2900  SUNSET CLIFFS BOULEVARD, SAN DIEGO","(32.7543192, -117.2368453)"
325,"3100  SPORTS ARENA BOULEVARD, SAN DIEGO","(32.7519338, -117.2053239)"
